date,county,year,T_night
2024-05-13,Albemarle,2024,11.785965791454531
2024-05-13,Appomattox,2024,12.560646438168003
2024-05-13,Amelia,2024,11.902011864933328
2024-05-13,Fairfax,2024,13.220802480736737
2024-05-13,Franklin,2024,15.061471581730096
2024-05-13,Richmond,2024,14.3814048094102
2024-05-20,Roanoke,2024,19.312423824494815
2024-05-20,Alleghany,2024,18.263201833028855
2024-05-20,Amherst,2024,17.137090060090166
2024-05-20,Franklin,2024,16.537453400220333
2024-05-20,Roanoke,2024,17.283870982400327
2024-05-20,Fairfax,2024,18.419842142959443
2024-05-20,Richmond,2024,17.346689321737287
2024-05-20,Accomack,2024,15.768551156855748
2024-05-20,Albemarle,2024,16.82389284058204
2024-05-20,Appomattox,2024,17.104184593108354
2024-05-20,Amelia,2024,17.024683265058044
2024-05-20,Fairfax,2024,18.657588799097937
2024-05-20,Franklin,2024,17.906911736272267
2024-05-20,Richmond,2024,18.749861590148473
2024-05-27,Roanoke,2024,15.69638663350647
2024-05-27,Alleghany,2024,12.108133896260586
2024-05-27,Amherst,2024,14.739056366015708
2024-05-27,Franklin,2024,15.193077656309049
2024-05-27,Roanoke,2024,14.430892297945098
2024-05-27,Fairfax,2024,16.162274034448192
2024-05-27,Richmond,2024,15.80101643958693
2024-05-27,Accomack,2024,15.95990851617455
2024-05-27,Albemarle,2024,14.629547920903333
2024-05-27,Appomattox,2024,14.3291394794737
2024-05-27,Amelia,2024,13.845020183125394
2024-05-27,Fairfax,2024,17.412763891499115
2024-05-27,Franklin,2024,16.88014404485696
2024-05-27,Richmond,2024,18.09233912346162
2024-06-03,Roanoke,2024,19.950008839499965
2024-06-03,Alleghany,2024,14.889343525699326
2024-06-03,Amherst,2024,17.6762406840558
2024-06-03,Franklin,2024,17.5602549480364
2024-06-03,Roanoke,2024,16.944270738600277
2024-06-03,Fairfax,2024,19.553825668343297
2024-06-03,Richmond,2024,19.067244952087066
2024-06-03,Accomack,2024,21.285377388188053
2024-06-03,Albemarle,2024,18.804593601331316
2024-06-03,Appomattox,2024,18.573756124115423
2024-06-03,Amelia,2024,20.590006902291925
2024-06-03,Fairfax,2024,20.090000000000032
2024-06-03,Franklin,2024,17.170000000000016
2024-06-03,Richmond,2024,21.747956601623407
2024-06-10,Roanoke,2024,20.787448307522254
2024-06-10,Alleghany,2024,16.604819862023902
2024-06-10,Amherst,2024,18.10378665849301
2024-06-10,Franklin,2024,17.340858312433472
2024-06-10,Roanoke,2024,18.372795884825344
2024-06-10,Fairfax,2024,17.24874965997231
2024-06-10,Richmond,2024,17.922310213507203
2024-06-10,Accomack,2024,18.917664024887895
