satellite,year,month,month_name,date,peak_NDVI,peak_GOSAVI,peak_GDVI,peak_EVI,peak_CVI,image_count,data_available,has_blue_band,total_corn_area_m2
Landsat5_TM,2007.0,7.0,Jul,2007-07,0.6820398291127688,0.4786186717008614,0.9163285088288359,0.5356669835463782,4.722026005908672,29,true,true,2.3231864894117637E9
Landsat5_TM,2007.0,8.0,Aug,2007-08,0.7057089181768894,0.477317354238691,0.9305928715483707,0.5446613245886245,4.6575711250479435,28,true,true,2.3231864894117637E9
Landsat5_TM,2007.0,9.0,Sep,2007-09,0.6935464964713476,0.46669484291383767,0.9223445437387497,0.49129134746165154,101.25291944674288,29,true,true,2.3231864894117637E9
Landsat5_TM,2008.0,5.0,May,2008-05,0.6306063118251833,0.4382002624944755,0.8797573470891822,0.4813382220256866,4.035854528879274,26,true,true,2.3231864894117637E9
Landsat5_TM,2008.0,6.0,Jun,2008-06,0.6420611211856022,0.4524933025723614,0.8919433904173647,0.4760958987889699,4.528016638063812,28,true,true,2.3231864894117637E9
Landsat5_TM,2008.0,7.0,Jul,2008-07,0.6995650094189753,0.4819091968936077,0.9264221255411653,0.5355307956489374,4.380184204049619,30,true,true,2.3231864894117637E9
Landsat5_TM,2008.0,8.0,Aug,2008-08,0.707754645904294,0.4854854264903723,0.9279072292672962,0.5540082582907344,13.962581409455087,24,true,true,2.3231864894117637E9
Landsat5_TM,2008.0,9.0,Sep,2008-09,0.7161911125169355,0.4796221273221808,0.9334756520427355,0.5430821719279283,4.7451174915662975,28,true,true,2.3231864894117637E9
Landsat5_TM,2009.0,5.0,May,2009-05,0.6560980811712218,0.4637554955857153,0.8948537621369572,0.47493294768016187,5.367951065455528,21,true,true,2.3231864894117637E9
Landsat5_TM,2009.0,6.0,Jun,2009-06,0.6950443338424821,0.4852917067374525,0.9200969407440864,0.5384872760951807,5.129730581553719,26,true,true,2.3231864894117637E9
Landsat5_TM,2009.0,7.0,Jul,2009-07,0.7369876666694315,0.5096316682780956,0.9445827030885013,0.5571774842628837,5.639407481516486,27,true,true,2.3231864894117637E9
